UF,Nome UF Municipio,Dependencia Administrativa,Cargo Funcao Cursista,Formacao Cursista,STATUS
SP,Pitangueiras,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo (outro),
SP,Pitangueiras,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
SP,Aguaí,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
SP,Aguaí,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
TO,Aliança do Tocantins,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
TO,Palmeiras do Tocantins,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
TO,Palmeiras do Tocantins,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
TO,Palmeiras do Tocantins,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
TO,Rio Sono,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
TO,Rio Sono,MUNICIPAL,Técnico da Secretaria de Educação,Superior Incompleto,
TO,Pequizeiro,MUNICIPAL,Diretor Escolar,Especialização,
TO,Pequizeiro,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
TO,Pequizeiro,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
TO,Bernardo Sayão,MUNICIPAL,Diretor Escolar,Superior Completo Pedagogia,
TO,Lagoa do Tocantins,MUNICIPAL,Técnico da Secretaria de Educação,Superior Completo Licenciatura,
TO,Novo Acordo,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
TO,Novo Acordo,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
TO,Novo Acordo,MUNICIPAL,Diretor Escolar,Especialização,
TO,Brejinho de Nazaré,MUNICIPAL,Diretor Escolar,Superior Completo Licenciatura,
TO,Pindorama do Tocantins,MUNICIPAL,Diretor Escolar,Especialização,
TO,Pindorama do Tocantins,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
TO,São Sebastião do Tocantins,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
TO,São Sebastião do Tocantins,MUNICIPAL,Diretor Escolar,Especialização,
TO,São Sebastião do Tocantins,MUNICIPAL,Diretor Escolar,Especialização,
SP,Castilho,MUNICIPAL,Diretor Escolar,Especialização,
SP,Castilho,MUNICIPAL,Técnico da Secretaria de Educação,Especialização,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Licenciatura,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Licenciatura,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo (outro),
AP,Amapá,ESTADUAL,Diretor Escolar,Mestrado,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Pedagogia,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Pedagogia,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo (outro),
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Licenciatura,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo (outro),
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Pedagogia,
AP,Amapá,ESTADUAL,Técnico da Secretaria de Educação,Superior Completo (outro),
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Pedagogia,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo (outro),
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo (outro),
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Pedagogia,
AP,Amapá,ESTADUAL,Diretor Escolar,Superior Completo Pedagogia,
AP,Amapá,ESTADUAL,Técnico da Secretaria de Educação,Superior Completo (outro),
AC,Acre,ESTADUAL,Diretor Escolar,Especialização,
AC,Acre,ESTADUAL,Diretor Escolar,Superior Completo Licenciatura,
BA,Bahia,ESTADUAL,Diretor Escolar,Superior Completo Licenciatura,
BA,Bahia,ESTADUAL,Técnico da Secretaria de Educação,Mestrado,
DF,Distrito Federal,ESTADUAL,Diretor Escolar,Doutorado,
DF,Distrito Federal,ESTADUAL,Diretor Escolar,Superior Completo (outro),
